Job,average_salary
"Radio, Cellular, and Tower Equipment Installers and Repairers","64360"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","64010"
Avionics Technicians,"77080"
"Electric Motor, Power Tool, and Related Repairers","52550"
"Electrical and Electronics Installers and Repairers, Transportation Equipment","76380"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","69810"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","92840"
"Electronic Equipment Installers and Repairers, Motor Vehicles","47570"
Audiovisual Equipment Installers and Repairers,"52720"
Security and Fire Alarm Systems Installers,"57400"
Aircraft Mechanics and Service Technicians,"76260"
Automotive Body and Related Repairers,"55220"
Automotive Glass Installers and Repairers,"46010"
Automotive Service Technicians and Mechanics,"51940"
Bus and Truck Mechanics and Diesel Engine Specialists,"59920"
Farm Equipment Mechanics and Service Technicians,"52120"
"Mobile Heavy Equipment Mechanics, Except Engines","64340"
